question,option_1,option_2,option_3,option_4,correct_option,chapter
What is the main purpose of the FCOM?,Document aircraft modification history,Provide maintenance data for mechanics,Serve as an operational reference for flight crew,Describe administrative company procedures,3.0,GENERAL
Which subchapter provides guidance on the correct use of survival equipment?,Handling Rules,Aircraft General,Navigation,Safety and Survival Equipment,4.0,GENERAL
What is the FCOM used for by the pilot?,To replace QRH data during emergencies,To consult operational and aircraft system information,To manage spare parts inventory,To plan preventive maintenance,2.0,GENERAL
'Aircraft General' subchapter describes:,Only performance data,Runway limitations on contaminated surfaces,General specifications including dimensions and capacities,Only the cockpit layout,3.0,GENERAL
Which document should be used for quick procedures during emergency situations?,QRH,FCTM,FCOM,MEL,1.0,GENERAL
What does the 'Philosophy and Operating Rules' subchapter aim to establish?,Foundations for safe and standardized operations,Maintenance planning procedures,Company internal organization,Cabin crew management rules,1.0,GENERAL
"Which section contains information about aircraft doors, evacuation, and life vests?",Handling Rules,Safety and Survival Equipment,Aircraft General,Flight Controls,2.0,GENERAL
What is typically found in the 'FCOM Introduction' section?,Electrical diagrams,Performance charts,"Structure, purpose, and scope of the manual",Emergency checklists,3.0,GENERAL
Handling Rules are applicable:,Only when requested by ATC,Only in severe weather conditions,Only during international flights,"During all phases of operation, as applicable",4.0,GENERAL
The Airbus operational philosophy emphasizes:,Commander's central decision without CRM,Different procedures depending on pilot experience,Standardized decision-making based on safety and CRM,Full automation in all flight phases,3.0,GENERAL
The 'Aircraft General' section includes information on:,Cabin layout and aircraft physical characteristics,Checklists and memory items,Weather radar operations,Spare parts inventory,1.0,GENERAL
What is the main purpose of the FCOM?,Document aircraft modification history,Provide maintenance data for mechanics,Serve as an operational reference for flight crew,Describe administrative company procedures,3.0,NORMAL PROCEDURES
Which subchapter provides guidance on the correct use of survival equipment?,Handling Rules,Aircraft General,Navigation,Safety and Survival Equipment,4.0,NORMAL PROCEDURES
What is the FCOM used for by the pilot?,To replace QRH data during emergencies,To consult operational and aircraft system information,To manage spare parts inventory,To plan preventive maintenance,2.0,NORMAL PROCEDURES
'Aircraft General' subchapter describes:,Only performance data,Runway limitations on contaminated surfaces,General specifications including dimensions and capacities,Only the cockpit layout,3.0,NORMAL PROCEDURES
Which document should be used for quick procedures during emergency situations?,QRH,FCTM,FCOM,MEL,1.0,NORMAL PROCEDURES
What does the 'Philosophy and Operating Rules' subchapter aim to establish?,Foundations for safe and standardized operations,Maintenance planning procedures,Company internal organization,Cabin crew management rules,1.0,NORMAL PROCEDURES
"Which section contains information about aircraft doors, evacuation, and life vests?",Handling Rules,Safety and Survival Equipment,Aircraft General,Flight Controls,2.0,NORMAL PROCEDURES
What is typically found in the 'FCOM Introduction' section?,Electrical diagrams,Performance charts,"Structure, purpose, and scope of the manual",Emergency checklists,3.0,NORMAL PROCEDURES
Handling Rules are applicable:,Only when requested by ATC,Only in severe weather conditions,Only during international flights,"During all phases of operation, as applicable",4.0,NORMAL PROCEDURES
The Airbus operational philosophy emphasizes:,Commander's central decision without CRM,Different procedures depending on pilot experience,Standardized decision-making based on safety and CRM,Full automation in all flight phases,3.0,NORMAL PROCEDURES
The 'Aircraft General' section includes information on:,Cabin layout and aircraft physical characteristics,Checklists and memory items,Weather radar operations,Spare parts inventory,1.0,NORMAL PROCEDURES
What must be verified regarding the aircraft Technical Logbook before cockpit preparation?,Fuel level and oil quantity,Deferred items and ACR validity,Departure clearance and ATIS,Checklist completion,2.0,NORMAL PROCEDURES
"Before pressurizing the hydraulic systems, what must the flight crew ensure?",That the APU bleed is on,That the fuel pumps are off,That clearance is obtained from ground personnel,That the aircraft is powered by batteries only,3.0,NORMAL PROCEDURES
"According to SOP, when should the APU Fire Test be performed?",Only after APU start,During taxi,Before cockpit lights check,Before APU start,4.0,NORMAL PROCEDURES
What is the recommended interval between selecting APU MASTER and pressing APU START?,At least 1 second,Immediately,At least 3 seconds,Exactly 5 seconds,3.0,NORMAL PROCEDURES
"If the aircraft has been powered for less than 6 hours, what should be checked regarding the batteries?",That they are OFF,That voltage is below 23V,That they are set to AUTO,That charging cycle is completed,3.0,NORMAL PROCEDURES
